"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"1540",179797,179797,259899,1983,NA,2,2,0,2,NA,NA,NA,1365,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4775,"Stansbury","","Ln","","","4775 Stansbury Ln","Indianapolis","IN",46254,"","Residential","Condominium","",39.839958,-86.295638,NA,NA,4826,0.1108,"",NA,NA,NA,"",NA,NA,115700,NA,NA,NA,NA,2016-06-23,115000,"","",NA,NA,NA
"1542",179799,179799,259901,1983,NA,2,1.5,1,1,NA,NA,NA,1188,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6047,"Apache","","Dr","","","6047 Apache Dr","Indianapolis","IN",46254,"","Residential","Condominium","",39.844106,-86.268597,NA,NA,9178,0.2107,"",NA,NA,NA,"",NA,NA,81800,NA,NA,NA,NA,2016-05-09,50000,"","",NA,NA,NA
"1545",179870,179870,259972,1995,NA,3,3,0,3,NA,NA,NA,1904,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5013,"Melbourne","","Rd","","","5013 Melbourne Rd","Indianapolis","IN",46228,"","Residential","SingleFamily","",39.844639,-86.219783,NA,NA,8712,0.2,"",NA,NA,NA,"",NA,NA,158500,NA,NA,NA,NA,2016-09-02,149000,"","",NA,NA,NA
"1550",179875,179875,259977,1995,NA,4,1.5,1,1,NA,NA,NA,2084,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6821,"Waterstone","","Dr","","","6821 Waterstone Dr","Indianapolis","IN",46268,"","Residential","SingleFamily","",39.878826,-86.220937,NA,NA,24394,0.56,"",NA,NA,NA,"",NA,NA,149200,NA,NA,NA,NA,2016-05-20,165000,"","",NA,NA,NA
"1554",179879,179879,259981,1995,NA,3,2,0,2,NA,NA,NA,1400,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6261,"Hazelhatch","","Dr","","","6261 Hazelhatch Dr","Indianapolis","IN",46268,"","Residential","SingleFamily","",39.869779,-86.207953,NA,NA,7405,0.17,"",NA,NA,NA,"",NA,NA,97800,NA,NA,NA,NA,2016-04-28,97000,"","",NA,NA,NA
"1571",180866,180866,261000,1983,NA,5,4,0,4,2,NA,1,5936,1415,1133,NA,NA,"Central","Finished","Single Family",NA,"Average","Brick",3,"Masonry",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"","","","",9228,"Seascape","","Dr","","","9228 Seascape Dr","Indianapolis","IN",46256,"","Residential","Single Family Residence / Townhouse","49-01-17-125-030.000-400",39.922914,-85.979282,NA,NA,24394,0.56,"17",17,NA,NA,"",68500,395700,464200,NA,0,2016,NA,2016-08-24,450000,"","",NA,NA,NA
"1572",180867,180867,261001,1988,NA,4,4,0,4,NA,NA,NA,5238,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",10805,"Seascape","","Ct","","","10805 Seascape Ct","Indianapolis","IN",46256,"","Residential","SingleFamily","",39.922795,-85.976246,NA,NA,21780,0.5,"",NA,NA,NA,"",NA,NA,693200,NA,NA,NA,NA,2016-06-10,784000,"","",NA,NA,NA
"1578",180873,180873,261007,1990,NA,4,4.5,1,4,NA,NA,NA,4511,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",10919,"Running Tide","","Ct","","","10919 Running Tide Ct","Indianapolis","IN",46236,"","Residential","SingleFamily","",39.90468,-85.973941,NA,NA,25265,0.58,"",NA,NA,NA,"",NA,NA,574200,NA,NA,NA,NA,2016-08-18,525000,"","",NA,NA,NA
"1580",180875,180875,261009,1983,NA,NA,2,0,2,NA,NA,NA,2399,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8305,"Reef","","Ct","","","8305 Reef Ct","Indianapolis","IN",46236,"","Residential","SingleFamily","",39.907215,-85.971858,NA,NA,21780,0.5,"",NA,NA,NA,"",NA,NA,561800,NA,NA,NA,NA,2016-07-22,549500,"","",NA,NA,NA
"1605",182740,182740,262907,1994,NA,3,2,0,2,NA,NA,NA,1181,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6080,"Tybalt","","Ln","","","6080 Tybalt Ln","Indianapolis","IN",46254,"","Residential","SingleFamily","",39.864818,-86.268196,NA,NA,1306,0.03,"",NA,NA,NA,"",NA,NA,96200,NA,NA,NA,NA,2016-06-07,105750,"","",NA,NA,NA
"1611",182746,182746,262913,1962,NA,4,1,0,1,NA,NA,NA,1073,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3831,"Lawndale","N","Ave","","","3831 N Lawndale Ave","Indianapolis","IN",46254,"","Residential","SingleFamily","",39.825384,-86.264647,NA,NA,9435,0.2166,"",NA,NA,NA,"",NA,NA,61200,NA,NA,NA,NA,2016-09-07,89900,"","",NA,NA,NA
"1614",183546,183546,263765,1956,NA,2,1,0,1,NA,NA,NA,1180,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4001,"Minnesota","E","St","","","4001 E Minnesota St","Indianapolis","IN",46203,"","Residential","SingleFamily","",39.745168,-86.098673,NA,NA,17380,0.399,"",NA,NA,NA,"",NA,NA,46600,NA,NA,NA,NA,2016-01-28,26700,"","",NA,NA,NA
"1615",184876,184876,265134,1953,6,2,1,0,1,1,NA,1,920,NA,352,NA,NA,"","","Single Family",NA,"Fair","Wood",NA,"",NA,NA,"Detached","Warm Air",NA,NA,"Detached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",4910,"21st","E","St","","","4910 E 21st St","Indianapolis","IN",46218,"","Residential","Single Family Residence / Townhouse","49-07-28-106-004.000-101",39.79643,-86.08756,148,45,6665,0.153,"16",28,NA,NA,"Extra Front",2400,29100,31500,NA,688,2015,NA,2016-04-05,30000,"","",NA,NA,NA
"1616",184877,184877,265135,1930,NA,2,1,0,1,NA,NA,NA,1584,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1477,"Shannon","","Ave","","","1477 Shannon Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.787352,-86.09344,NA,NA,4791,0.11,"",NA,NA,NA,"",NA,NA,62800,NA,NA,NA,NA,2016-08-16,81000,"","",NA,NA,NA
"1617",184878,184878,265136,1929,NA,2,2,0,2,NA,NA,NA,1792,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1513,"Bosart","N","Ave","","","1513 N Bosart Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.78802,-86.09012,NA,NA,7405,0.17,"",NA,NA,NA,"",NA,NA,78300,NA,NA,NA,NA,2016-06-30,86500,"","",NA,NA,NA
"1618",184879,184879,265137,1935,NA,2,NA,NA,NA,NA,NA,NA,1600,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1520,"Linwood","N","Ave","","","1520 N Linwood Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.788111,-86.093064,NA,NA,4813,0.1105,"",NA,NA,NA,"",NA,NA,80000,NA,NA,NA,NA,2016-07-26,88900,"","",NA,NA,NA
"1620",184881,184881,265139,1946,NA,2,2,0,2,NA,NA,NA,1440,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2034,"Drexel","N","Ave","","","2034 N Drexel Ave","Indianapolis","IN",46218,"","Residential","SingleFamily","",39.795457,-86.091672,NA,NA,4791,0.11,"",NA,NA,NA,"",NA,NA,40400,NA,NA,NA,NA,2016-04-05,26500,"","",NA,NA,NA
"1621",184882,184882,265140,1942,NA,2,1,0,1,NA,NA,NA,1536,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1948,"Wallace","","Ave","","","1948 Wallace Ave","Indianapolis","IN",46218,"","Residential","SingleFamily","",39.793972,-86.089602,NA,NA,12196,0.28,"",NA,NA,NA,"",NA,NA,37500,NA,NA,NA,NA,2016-02-15,44400,"","",NA,NA,NA
"1624",184885,184885,265143,1940,NA,3,NA,NA,NA,NA,NA,NA,1167,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1420,"Bosart","N","Ave","","","1420 N Bosart Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.786115,-86.090887,NA,NA,5619,0.129,"",NA,NA,NA,"",NA,NA,76300,NA,NA,NA,NA,2016-08-19,87900,"","",NA,NA,NA
"1626",184887,184887,265145,1942,NA,3,NA,NA,NA,NA,NA,NA,744,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1432,"Wallace","","Ave","","","1432 Wallace Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.786759,-86.089259,NA,NA,6098,0.14,"",NA,NA,NA,"",NA,NA,62700,NA,NA,NA,NA,2016-03-15,30000,"","",NA,NA,NA
"1628",184889,184889,265147,1943,NA,2,1,0,1,NA,NA,NA,1440,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1516,"Wallace","","Ave","","","1516 Wallace Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.788134,-86.089369,NA,NA,8015,0.184,"",NA,NA,NA,"",NA,NA,59000,NA,NA,NA,NA,2016-07-12,60000,"","",NA,NA,NA
"1634",184895,184895,265153,1940,NA,2,NA,NA,NA,NA,NA,NA,943,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1807,"Emerson","N","Ave","","","1807 N Emerson Ave","Indianapolis","IN",46218,"","Residential","SingleFamily","",39.791523,-86.082796,NA,NA,11500,0.264,"",NA,NA,NA,"",NA,NA,55300,NA,NA,NA,NA,2016-05-31,58000,"","",NA,NA,NA
"1636",184897,184897,265155,1959,NA,3,2,0,2,NA,NA,NA,1530,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1617,"Emerson","N","Ave","","","1617 N Emerson Ave","Indianapolis","IN",46218,"","Residential","SingleFamily","",39.789547,-86.08279,NA,NA,11499,0.264,"",NA,NA,NA,"",NA,NA,97800,NA,NA,NA,NA,2016-07-15,87300,"","",NA,NA,NA
"1655",187645,187645,268021,1941,NA,3,3,0,3,NA,NA,NA,2300,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6936,"Park","N","Ave","","","6936 N Park Ave","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.88076,-86.148409,NA,NA,7499,0.1722,"",NA,NA,NA,"",NA,NA,290400,NA,NA,NA,NA,2016-07-11,390000,"","",NA,NA,NA
"1664",188873,188873,269287,1964,NA,3,2,0,2,NA,NA,NA,1612,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",11347,"Indian Creek","","Rd","","","11347 Indian Creek Rd","Indianapolis","IN",46236,"","Residential","SingleFamily","",39.869782,-85.96544,NA,NA,15987,0.367,"",NA,NA,NA,"",NA,NA,115600,NA,NA,NA,NA,2016-05-05,126000,"","",NA,NA,NA
"1668",188877,188877,269291,1993,NA,3,3,0,3,NA,NA,NA,1808,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",10552,"Bartley","","Dr","","","10552 Bartley Dr","Indianapolis","IN",46236,"","Residential","SingleFamily","",39.86867,-85.980489,NA,NA,7492,0.172,"",NA,NA,NA,"",NA,NA,134600,NA,NA,NA,NA,2016-03-16,139000,"","",NA,NA,NA
"1670",188879,188879,269293,1994,NA,4,2.5,1,2,NA,NA,NA,2283,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6117,"Tolliston","","Dr","","","6117 Tolliston Dr","Indianapolis","IN",46236,"","Residential","SingleFamily","",39.868655,-85.977763,NA,NA,10018,0.23,"",NA,NA,NA,"",NA,NA,169900,NA,NA,NA,NA,2016-05-16,150000,"","",NA,NA,NA
"1674",188883,188883,269297,1999,NA,3,2,0,2,1,NA,1,1142,NA,400,NA,NA,"Central","","Single Family",NA,"Average","Masonry",NA,"",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"","","","",10658,"Sedgegrass","","Dr","","","10658 Sedgegrass Dr","Indianapolis","IN",46235,"","Residential","Single Family Residence / Townhouse","49-08-04-114-049.000-407",39.857478,-85.978224,NA,NA,6490,0.149,"16",4,NA,NA,"",16500,71900,88400,NA,667,2015,NA,2016-07-15,99580,"Grant Deed","CASTANEDA ALBERTO A",NA,NA,NA
"1678",188887,188887,269301,1999,NA,3,2.5,1,2,NA,NA,NA,1888,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6123,"Parrington","","Dr","","","6123 Parrington Dr","Indianapolis","IN",46236,"","Residential","SingleFamily","",39.868312,-85.984774,NA,NA,9583,0.22,"",NA,NA,NA,"",NA,NA,145700,NA,NA,NA,NA,2016-05-12,149900,"","",NA,NA,NA
"1683",189627,189627,270069,1973,NA,3,1,0,1,NA,NA,NA,1003,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",236,"Sierra","","Ct","","","236 Sierra Ct","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.768455,-86.325589,NA,NA,8886,0.204,"",NA,NA,NA,"",NA,NA,67200,NA,NA,NA,NA,2016-07-25,99000,"","",NA,NA,NA
"1694",189638,189638,270080,1985,NA,3,2,0,2,NA,NA,NA,1362,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1639,"Purcell","","Cir","","","1639 Purcell Cir","Indianapolis","IN",46231,"","Residential","SingleFamily","",39.743107,-86.31032,NA,NA,13939,0.32,"",NA,NA,NA,"",NA,NA,85300,NA,NA,NA,NA,2016-05-05,99900,"","",NA,NA,NA
"1700",193599,193599,274175,1910,NA,3,1.5,1,1,NA,NA,NA,2674,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3507,"Capitol","N","Ave","","","3507 N Capitol Ave","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.819597,-86.161193,NA,NA,5184,0.119,"",NA,NA,NA,"",NA,NA,78800,NA,NA,NA,NA,2016-06-24,77900,"","",NA,NA,NA
"1707",193606,193606,274182,1921,8,3,3,0,3,2,NA,1,3289,988,400,NA,NA,"","","Single Family",NA,"Average","Brick",1,"Masonry",NA,NA,"Detached","Warm Air",NA,NA,"Detached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",3648,"Delaware","N","St","","","3648 N Delaware St","Indianapolis","IN",46205,"","Residential","Single Family Residence / Townhouse","49-06-24-140-022.000-101",39.82209,-86.153634,131,50,6534,0.15,"16",24,NA,NA,"",15300,131700,147000,NA,1594,2015,NA,2016-08-05,198518,"Grant Deed","MOSLEY PRISCILLA A TRUST",NA,NA,NA
"1716",194330,194330,274918,1920,NA,3,1,0,1,NA,NA,NA,1097,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1901,"Orange","","St","","","1901 Orange St","Indianapolis","IN",46203,"","Residential","SingleFamily","",39.749599,-86.12749,NA,NA,4530,0.104,"",NA,NA,NA,"",NA,NA,33500,NA,NA,NA,NA,2016-09-09,69000,"","",NA,NA,NA
"1721",194335,194335,274923,1954,NA,2,1,0,1,NA,NA,NA,792,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1649,"Asbury","","St","","","1649 Asbury St","Indianapolis","IN",46203,"","Residential","SingleFamily","",39.745183,-86.129209,NA,NA,3484,0.08,"",NA,NA,NA,"",NA,NA,37000,NA,NA,NA,NA,2016-05-20,50000,"","",NA,NA,NA
"1723",200681,200681,281539,1910,NA,3,2,0,2,NA,NA,NA,1374,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",420,"Berwick","N","Ave","","","420 N Berwick Ave","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.772543,-86.218762,NA,NA,4356,0.1,"",NA,NA,NA,"",NA,NA,44500,NA,NA,NA,NA,2016-09-16,53000,"","",NA,NA,NA
"1725",200683,200683,281541,1950,NA,2,NA,NA,NA,NA,NA,NA,725,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1106,"Concord","N","St","","","1106 N Concord St","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.782293,-86.210986,NA,NA,6055,0.139,"",NA,NA,NA,"",NA,NA,16800,NA,NA,NA,NA,2016-08-30,28500,"","",NA,NA,NA
"1731",202614,202614,283528,1958,NA,4,3,0,3,NA,NA,NA,2268,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7625,"Sherman","N","Dr","","","7625 N Sherman Dr","Indianapolis","IN",46240,"","Residential","SingleFamily","",39.892436,-86.102402,NA,NA,21300,0.489,"",NA,NA,NA,"",NA,NA,216000,NA,NA,NA,NA,2016-08-23,172000,"","",NA,NA,NA
"1733",202616,202616,283530,1959,NA,3,2,0,2,NA,NA,NA,1570,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5620,"79th","E","St","","","5620 E 79th St","Indianapolis","IN",46250,"","Residential","SingleFamily","",39.898227,-86.074265,NA,NA,20037,0.46,"",NA,NA,NA,"",NA,NA,179000,NA,NA,NA,NA,2016-05-30,184000,"","",NA,NA,NA
"1740",202623,202623,283537,1966,NA,5,3,0,3,NA,NA,NA,3628,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5006,"72nd","E","Pl","","","5006 E 72nd Pl","Indianapolis","IN",46250,"","Residential","SingleFamily","",39.886975,-86.086062,NA,NA,15002,0.3444,"",NA,NA,NA,"",NA,NA,249900,NA,NA,NA,NA,2016-06-15,250000,"","",NA,NA,NA
"1741",202624,202624,283538,1969,NA,4,3,0,3,NA,NA,NA,1968,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5325,"79th","E","St","","","5325 E 79th St","Indianapolis","IN",46250,"","Residential","SingleFamily","",39.897507,-86.078185,NA,NA,15999,0.3673,"",NA,NA,NA,"",NA,NA,224400,NA,NA,NA,NA,2016-05-20,219000,"","",NA,NA,NA
"1742",202625,202625,283539,1969,NA,4,3,0,3,NA,NA,NA,3312,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5317,"Brookview","","Ct","","","5317 Brookview Ct","Indianapolis","IN",46250,"","Residential","SingleFamily","",39.896689,-86.077902,NA,NA,15681,0.36,"",NA,NA,NA,"",NA,NA,225700,NA,NA,NA,NA,2016-06-11,242500,"","",NA,NA,NA
"1752",203712,203712,284659,1986,NA,2,1,0,1,NA,NA,NA,916,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8136,"Heritage Commons","","Dr","","","8136 Heritage Commons Dr","Indianapolis","IN",46219,"","Residential","Condominium","",39.795782,-86.024442,NA,NA,1307,0.03,"",NA,NA,NA,"",NA,NA,57500,NA,NA,NA,NA,2016-05-19,53000,"","",NA,NA,NA
"1769",203855,203855,284802,1900,NA,2,1,0,1,NA,NA,NA,1872,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1315,"Kealing","N","Ave","","","1315 N Kealing Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.78506,-86.103467,NA,NA,5140,0.118,"",NA,NA,NA,"",NA,NA,36400,NA,NA,NA,NA,2016-04-12,21600,"","",NA,NA,NA
"1770",203856,203856,284803,1914,NA,3,1.5,1,1,NA,NA,NA,2208,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1035,"Ewing","N","St","","","1035 N Ewing St","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.782444,-86.104548,NA,NA,3615,0.083,"",NA,NA,NA,"",NA,NA,61200,NA,NA,NA,NA,2016-07-04,21510,"","",NA,NA,NA
"1772",206419,206419,287517,1955,NA,3,1,0,1,NA,NA,NA,944,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4730,"Wellington","","Ave","","","4730 Wellington Ave","Indianapolis","IN",46226,"","Residential","SingleFamily","",39.84273,-86.031097,NA,NA,7274,0.167,"",NA,NA,NA,"",NA,NA,79000,NA,NA,NA,NA,2016-06-17,46000,"","",NA,NA,NA
"1776",206427,206427,287525,1959,NA,NA,NA,NA,NA,NA,NA,NA,1372,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5475,"Sadlier","N","Dr","","","5475 N Sadlier Dr","Indianapolis","IN",46226,"","Residential","SingleFamily","",39.85387,-86.03838,NA,NA,13896,0.319,"",NA,NA,NA,"",NA,NA,85500,NA,NA,NA,NA,2016-05-08,94900,"","",NA,NA,NA
"1779",206432,206432,287530,1957,NA,3,1,0,1,NA,NA,NA,988,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7818,"48th","E","St","","","7818 E 48th St","Indianapolis","IN",46226,"","Residential","SingleFamily","",39.844239,-86.030378,NA,NA,7143,0.164,"",NA,NA,NA,"",NA,NA,60100,NA,NA,NA,NA,2016-08-01,55900,"","",NA,NA,NA
"1783",207247,207247,288378,1920,NA,0,NA,NA,NA,NA,NA,NA,665,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2850,"New Jersey","N","St","","","2850 N New Jersey St","Indianapolis","IN",46205,"","Residential","Duplex","",39.808063,-86.151083,NA,NA,5183,0.119,"",NA,NA,NA,"",NA,NA,66000,NA,NA,NA,NA,2016-04-22,119000,"","",NA,NA,NA
"1795",212630,212630,293948,1977,NA,4,4.5,1,4,NA,NA,NA,4033,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7837,"Normandy","","Blvd","","","7837 Normandy Blvd","Indianapolis","IN",46278,"","Residential","SingleFamily","",39.89538,-86.278255,NA,NA,33193,0.762,"",NA,NA,NA,"",NA,NA,316700,NA,NA,NA,NA,2016-05-20,295000,"","",NA,NA,NA
"1802",212637,212637,293955,1991,NA,4,3,0,3,NA,NA,NA,2060,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6819,"Antelope","","Blvd","","","6819 Antelope Blvd","Indianapolis","IN",46278,"","Residential","SingleFamily","",39.875734,-86.281476,NA,NA,7405,0.17,"",NA,NA,NA,"",NA,NA,148700,NA,NA,NA,NA,2016-07-27,168500,"","",NA,NA,NA
"1807",212642,212642,293960,1993,NA,4,4,0,4,NA,NA,NA,3754,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8817,"Bergeson","","Dr","","","8817 Bergeson Dr","Indianapolis","IN",46278,"","Residential","SingleFamily","",39.913533,-86.27123,NA,NA,17859,0.41,"",NA,NA,NA,"",NA,NA,312900,NA,NA,NA,NA,2016-07-27,350000,"","",NA,NA,NA
"1823",213037,213037,294389,1976,NA,3,2,0,2,NA,NA,NA,1564,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1741,"77th","E","St","","","1741 E 77th St","Indianapolis","IN",46240,"","Residential","SingleFamily","",39.893658,-86.126419,NA,NA,21780,0.5,"",NA,NA,NA,"",NA,NA,200200,NA,NA,NA,NA,2016-06-26,275000,"","",NA,NA,NA
"1825",213039,213039,294391,1905,NA,2,1,0,1,NA,NA,NA,1252,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7505,"Terrace","","Bch","","","7505 Terrace Bch","Indianapolis","IN",46240,"","Residential","SingleFamily","",39.891947,-86.135524,NA,NA,17759,0.4077,"",NA,NA,NA,"",NA,NA,128300,NA,NA,NA,NA,2016-07-29,170000,"","",NA,NA,NA
"1842",214295,214295,295696,1963,NA,3,2,0,2,NA,NA,NA,1655,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",815,"Fairway","","Dr","","","815 Fairway Dr","Indianapolis","IN",46260,"","Residential","SingleFamily","",39.883239,-86.173402,NA,NA,24045,0.552,"",NA,NA,NA,"",NA,NA,148600,NA,NA,NA,NA,2016-08-01,174500,"","",NA,NA,NA
"1859",217464,217464,299054,1900,NA,3,1.5,1,1,NA,NA,NA,2336,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",42,"Regent","E","St","","","42 E Regent St","Indianapolis","IN",46225,"","Residential","SingleFamily","",39.738439,-86.157697,NA,NA,6229,0.143,"",NA,NA,NA,"",NA,NA,32900,NA,NA,NA,NA,2016-06-05,24500,"","",NA,NA,NA
"1860",217465,217465,299055,1903,NA,3,1,0,1,NA,NA,NA,2908,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2246,"Pennsylvania","S","St","","","2246 S Pennsylvania St","Indianapolis","IN",46225,"","Residential","SingleFamily","",39.735796,-86.156909,NA,NA,3049,0.07,"",NA,NA,NA,"",NA,NA,70900,NA,NA,NA,NA,2016-08-08,82000,"","",NA,NA,NA
