"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"1817",251643,251643,334711,1946,NA,4,1.5,1,1,NA,NA,NA,1534,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,9383,"Warwick","","St","","","9383 Warwick St","Detroit","MI",48228,"","Residential","SingleFamily","",42.364234,-83.227776,NA,NA,7293,0.1674,NA,NA,NA,NA,NA,NA,NA,44800,NA,NA,NA,NA,2016-01-21,24000,"","",NA,NA,NA
"1824",252436,252436,335562,1900,NA,4,4,0,4,NA,NA,NA,3433,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,1403,"Morrell","","St","","","1403 Morrell St","Detroit","MI",48209,"","Residential","MultiFamily2To4","",42.314491,-83.098159,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,18400,NA,NA,NA,NA,2016-03-10,30000,"","",NA,NA,NA
"1835",267995,267995,351720,1934,NA,3,1.5,1,1,NA,NA,NA,1789,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,16814,"Edinborough","","Rd","","","16814 Edinborough Rd","Detroit","MI",48219,"","Residential","SingleFamily","",42.413719,-83.233856,NA,NA,6534,0.15,NA,NA,NA,NA,NA,NA,NA,45800,NA,NA,NA,NA,2016-05-12,130000,"","",NA,NA,NA
"1837",267997,267997,351722,1965,NA,4,4,0,4,NA,NA,NA,2900,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,19260,"Bretton","","Dr","","","19260 Bretton Dr","Detroit","MI",48223,"","Residential","SingleFamily","",42.40937,-83.231002,NA,NA,3049,0.07,NA,NA,NA,NA,NA,NA,NA,141200,NA,NA,NA,NA,2016-01-18,175000,"","",NA,NA,NA
"1838",267998,267998,351723,1931,NA,4,3,0,3,NA,NA,NA,2042,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,16765,"Shaftsbury","","Ave","","","16765 Shaftsbury Ave","Detroit","MI",48219,"","Residential","SingleFamily","",42.413098,-83.230682,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,73800,NA,NA,NA,NA,2016-07-05,85000,"","",NA,NA,NA
"1839",267999,267999,351724,1925,NA,3,1.5,1,1,NA,NA,NA,1888,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,16758,"Westmoreland","","Rd","","","16758 Westmoreland Rd","Detroit","MI",48219,"","Residential","SingleFamily","",42.412876,-83.235035,NA,NA,6969,0.16,NA,NA,NA,NA,NA,NA,NA,68000,NA,NA,NA,NA,2016-07-15,131000,"","",NA,NA,NA
"1843",268040,268040,351777,1928,NA,0,2,0,2,NA,NA,NA,2039,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17385,"Kentucky","","St","","","17385 Kentucky St","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.42,-83.159569,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,29800,NA,NA,NA,NA,2016-06-30,36000,"","",NA,NA,NA
"1844",268041,268041,351778,1928,NA,2,1.5,1,1,NA,NA,NA,2475,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17344,"Kentucky","","St","","","17344 Kentucky St","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.41946,-83.158943,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,41800,NA,NA,NA,NA,2016-03-02,23000,"","",NA,NA,NA
"1845",268043,268043,351780,1958,NA,3,1.5,1,1,NA,NA,NA,1058,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,8637,"Pembroke","","Ave","","","8637 Pembroke Ave","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.438343,-83.157455,NA,NA,3049,0.07,NA,NA,NA,NA,NA,NA,NA,23000,NA,NA,NA,NA,2016-01-20,18000,"","",NA,NA,NA
"1847",268045,268045,351782,1917,NA,0,2,0,2,NA,NA,NA,1606,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,1932,"Clements","","St","","","1932 Clements St","Detroit","MI",48238,"","Residential","MultiFamily2To4","",42.397087,-83.114484,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,9600,NA,NA,NA,NA,2016-05-06,21995,"","",NA,NA,NA
"1848",268048,268048,351785,1939,NA,2,1,0,1,NA,NA,NA,1021,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18403,"San Juan","","Dr","","","18403 San Juan Dr","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.426242,-83.146911,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,22200,NA,NA,NA,NA,2016-05-11,47000,"","",NA,NA,NA
"1849",268049,268049,351786,1931,NA,3,1.5,1,1,NA,NA,NA,2940,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17559,"Santa Rosa","","Dr","","","17559 Santa Rosa Dr","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.42168,-83.143394,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,31600,NA,NA,NA,NA,2016-03-17,17500,"","",NA,NA,NA
"1850",268050,268050,351787,1929,NA,NA,4.5,1,4,NA,NA,NA,2952,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,3797,"Waverly","","St","","","3797 Waverly St","Detroit","MI",48238,"","Residential","MultiFamily2To4","",42.388271,-83.131973,NA,NA,3485,0.08,NA,NA,NA,NA,NA,NA,NA,24400,NA,NA,NA,NA,2016-04-26,33400,"","",NA,NA,NA
"1852",268052,268052,351789,1939,NA,2,1,0,1,NA,NA,NA,1200,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17536,"Roselawn","","St","","","17536 Roselawn St","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.421298,-83.152137,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,55400,NA,NA,NA,NA,2016-05-06,30100,"","",NA,NA,NA
"1853",268053,268053,351790,1956,NA,2,1,0,1,NA,NA,NA,1606,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18309,"Meyers","","Rd","","","18309 Meyers Rd","Detroit","MI",48235,"","Residential","MultiFamily2To4","",42.425579,-83.170722,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,NA,NA,2016-04-11,42000,"","",NA,NA,NA
"1854",268054,268054,351791,1929,NA,0,3,0,3,NA,NA,NA,2100,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,3795,"Kendall","","St","","","3795 Kendall St","Detroit","MI",48238,"","Residential","MultiFamily2To4","",42.393688,-83.135505,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,2016-06-17,50000,"","",NA,NA,NA
"1855",268056,268056,351793,1939,NA,0,2,0,2,NA,NA,NA,1934,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17132,"Greenlawn","","St","","","17132 Greenlawn St","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.417648,-83.150733,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,41400,NA,NA,NA,NA,2016-02-23,19062,"","",NA,NA,NA
"1856",268057,268057,351794,1929,NA,0,2,0,2,NA,NA,NA,1944,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15089,"Freeland","","St","","","15089 Freeland St","Detroit","MI",48227,"","Residential","MultiFamily2To4","",42.400988,-83.185696,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,23600,NA,NA,NA,NA,2016-01-27,33300,"","",NA,NA,NA
"1859",268061,268061,351798,1927,NA,2,2,0,2,NA,NA,NA,1800,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,13944,"Winthrop","","St","","","13944 Winthrop St","Detroit","MI",48227,"","Residential","MultiFamily2To4","",42.387741,-83.198837,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,26800,NA,NA,NA,NA,2016-03-22,25000,"","",NA,NA,NA
"1860",268062,268062,351799,1929,NA,0,2.5,1,2,NA,NA,NA,2333,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14662,"Forrer","","St","","","14662 Forrer St","Detroit","MI",48227,"","Residential","MultiFamily2To4","",42.396125,-83.200798,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,34600,NA,NA,NA,NA,2016-02-29,39900,"","",NA,NA,NA
"1862",268064,268064,351801,1942,NA,4,2,0,2,NA,NA,NA,1745,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14301,"Mansfield","","St","","","14301 Mansfield St","Detroit","MI",48227,"","Residential","MultiFamily2To4","",42.391839,-83.205076,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,2016-04-29,23500,"","",NA,NA,NA
"1863",268065,268065,351802,1926,NA,NA,2,0,2,NA,NA,NA,2500,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14360,"Mettetal","","St","","","14360 Mettetal St","Detroit","MI",48227,"","Residential","MultiFamily2To4","",42.392603,-83.206628,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,38000,NA,NA,NA,NA,2016-07-26,42500,"","",NA,NA,NA
"1864",268066,268066,351803,1925,NA,4,2,0,2,NA,NA,NA,1872,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14829,"Strathmoor","","St","","","14829 Strathmoor St","Detroit","MI",48227,"","Residential","MultiFamily2To4","",42.39748,-83.187835,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,23200,NA,NA,NA,NA,2016-03-11,55700,"","",NA,NA,NA
"1865",268067,268067,351804,1960,NA,0,2,0,2,NA,NA,NA,2322,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,20516,"Hubbell","","St","","","20516 Hubbell St","Detroit","MI",48235,"","Residential","MultiFamily2To4","",42.444324,-83.190284,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,14800,NA,NA,NA,NA,2016-02-19,30000,"","",NA,NA,NA
"1866",268068,268068,351805,1930,NA,4,2,0,2,NA,NA,NA,2457,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17534,"Stoepel","","St","","","17534 Stoepel St","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.421363,-83.141693,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,30800,NA,NA,NA,NA,2016-04-11,22000,"","",NA,NA,NA
"1867",268069,268069,351806,1928,NA,0,NA,NA,NA,NA,NA,NA,2757,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,17150,"Prairie","","St","","","17150 Prairie St","Detroit","MI",48221,"","Residential","MultiFamily2To4","",42.417915,-83.144783,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,38800,NA,NA,NA,NA,2016-04-26,42000,"","",NA,NA,NA
"1870",268098,268098,351836,1939,NA,3,1,0,1,NA,NA,NA,918,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,10742,"Balfour","","Rd","","","10742 Balfour Rd","Detroit","MI",48224,"","Residential","SingleFamily","",42.420387,-82.944076,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,13400,NA,NA,NA,NA,2016-03-30,25000,"","",NA,NA,NA
"1871",268099,268099,351837,1947,NA,3,1,0,1,NA,NA,NA,869,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,11007,"Beaconsfield","","St","","","11007 Beaconsfield St","Detroit","MI",48224,"","Residential","SingleFamily","",42.421501,-82.94815,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,36600,NA,NA,NA,NA,2016-03-01,48000,"","",NA,NA,NA
"1872",268100,268100,351838,1940,NA,NA,1.5,1,1,NA,NA,NA,1336,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,10468,"Balfour","","Rd","","","10468 Balfour Rd","Detroit","MI",48224,"","Residential","SingleFamily","",42.417892,-82.946022,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,38200,NA,NA,NA,NA,2016-01-15,23750,"","",NA,NA,NA
"1874",268102,268102,351840,1940,NA,3,1,0,1,NA,NA,NA,1284,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,11815,"Whitehill","","St","","","11815 Whitehill St","Detroit","MI",48224,"","Residential","SingleFamily","",42.424248,-82.954499,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,36600,NA,NA,NA,NA,2016-03-15,26500,"","",NA,NA,NA
"1877",268105,268105,351843,1950,NA,3,2,0,2,NA,NA,NA,1100,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,11707,"Lansdowne","","St","","","11707 Lansdowne St","Detroit","MI",48224,"","Residential","SingleFamily","",42.423679,-82.953515,NA,NA,6534,0.15,NA,NA,NA,NA,NA,NA,NA,30200,NA,NA,NA,NA,2016-01-19,37000,"","",NA,NA,NA
"1879",268107,268107,351845,1948,NA,3,1,0,1,NA,NA,NA,904,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,10930,"Beaconsfield","","St","","","10930 Beaconsfield St","Detroit","MI",48224,"","Residential","SingleFamily","",42.42033,-82.948211,NA,NA,5663,0.13,NA,NA,NA,NA,NA,NA,NA,40600,NA,NA,NA,NA,2016-02-09,24000,"","",NA,NA,NA
"1880",268108,268108,351846,1954,NA,3,1,0,1,NA,NA,NA,1513,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,11981,"Whitehill","","St","","","11981 Whitehill St","Detroit","MI",48224,"","Residential","SingleFamily","",42.425981,-82.953209,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,2016-06-24,33000,"","",NA,NA,NA
"1882",268110,268110,351848,1949,NA,3,1.5,1,1,NA,NA,NA,1207,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,10902,"Beaconsfield","","St","","","10902 Beaconsfield St","Detroit","MI",48224,"","Residential","SingleFamily","",42.420005,-82.948448,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,36600,NA,NA,NA,NA,2016-08-11,16200,"","",NA,NA,NA
"1884",268134,268134,351874,1928,NA,2,1,0,1,NA,NA,NA,1025,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14800,"Forrer","","St","","","14800 Forrer St","Detroit","MI",48227,"","Residential","SingleFamily","",42.396747,-83.200889,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,15200,NA,NA,NA,NA,2016-05-17,15500,"","",NA,NA,NA
"1885",268135,268135,351875,1924,NA,4,1,0,1,NA,NA,NA,1300,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14422,"Coyle","","St","","","14422 Coyle St","Detroit","MI",48227,"","Residential","SingleFamily","",42.393806,-83.193122,NA,NA,3049,0.07,NA,NA,NA,NA,NA,NA,NA,18400,NA,NA,NA,NA,2016-03-02,20000,"","",NA,NA,NA
"1886",268136,268136,351876,1929,NA,4,2,0,2,NA,NA,NA,1101,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14216,"Mansfield","","St","","","14216 Mansfield St","Detroit","MI",48227,"","Residential","SingleFamily","",42.390941,-83.204322,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,37600,NA,NA,NA,NA,2016-01-29,51000,"","",NA,NA,NA
"1887",268137,268137,351877,1936,NA,5,2,0,2,NA,NA,NA,1600,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14127,"Winthrop","","St","","","14127 Winthrop St","Detroit","MI",48227,"","Residential","SingleFamily","",42.38979,-83.199516,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,35200,NA,NA,NA,NA,2016-04-22,32000,"","",NA,NA,NA
"1888",268138,268138,351878,1937,NA,NA,1,0,1,NA,NA,NA,1033,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,13364,"Coyle","","St","","","13364 Coyle St","Detroit","MI",48227,"","Residential","SingleFamily","",42.386272,-83.193283,NA,NA,4356,0.1,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,2016-03-08,44000,"","",NA,NA,NA
"1893",268198,268198,351938,1937,NA,3,2,0,2,NA,NA,NA,1504,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15016,"Warwick","","St","","","15016 Warwick St","Detroit","MI",48223,"","Residential","SingleFamily","",42.398681,-83.228286,NA,NA,7840,0.18,NA,NA,NA,NA,NA,NA,NA,60400,NA,NA,NA,NA,2016-04-11,91000,"","",NA,NA,NA
"1894",268199,268199,351939,1941,NA,3,3,0,3,NA,NA,NA,1787,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15335,"Artesian","","St","","","15335 Artesian St","Detroit","MI",48223,"","Residential","SingleFamily","",42.401712,-83.227931,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,55600,NA,NA,NA,NA,2016-09-23,104000,"","",NA,NA,NA
"1895",268200,268200,351940,1925,NA,0,2,0,2,NA,NA,NA,1568,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15435,"Warwick","","St","","","15435 Warwick St","Detroit","MI",48223,"","Residential","SingleFamily","",42.403121,-83.229293,NA,NA,7841,0.18,NA,NA,NA,NA,NA,NA,NA,82000,NA,NA,NA,NA,2016-04-11,45000,"","",NA,NA,NA
"1896",268201,268201,351941,1948,NA,3,1,0,1,NA,NA,NA,1258,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14865,"Warwick","","St","","","14865 Warwick St","Detroit","MI",48223,"","Residential","SingleFamily","",42.396877,-83.22908,NA,NA,7840,0.18,NA,NA,NA,NA,NA,NA,NA,66800,NA,NA,NA,NA,2016-02-19,54900,"","",NA,NA,NA
"1897",268202,268202,351942,1926,NA,3,2.5,1,2,NA,NA,NA,2250,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15041,"Warwick","","St","","","15041 Warwick St","Detroit","MI",48223,"","Residential","SingleFamily","",42.398981,-83.22915,NA,NA,7841,0.18,NA,NA,NA,NA,NA,NA,NA,71600,NA,NA,NA,NA,2016-02-24,134500,"","",NA,NA,NA
"1898",268203,268203,351943,1939,NA,3,1.5,1,1,NA,NA,NA,1919,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14412,"Artesian","","St","","","14412 Artesian St","Detroit","MI",48223,"","Residential","SingleFamily","",42.392898,-83.226898,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,68200,NA,NA,NA,NA,2016-03-22,125000,"","",NA,NA,NA
"1899",268204,268204,351944,1948,NA,3,2,0,2,NA,NA,NA,1242,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14369,"Piedmont","","St","","","14369 Piedmont St","Detroit","MI",48223,"","Residential","SingleFamily","",42.392229,-83.230137,NA,NA,4792,0.11,NA,NA,NA,NA,NA,NA,NA,48400,NA,NA,NA,NA,2016-02-08,75000,"","",NA,NA,NA
"1900",268205,268205,351945,1930,NA,3,2,0,2,NA,NA,NA,1230,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15155,"Artesian","","St","","","15155 Artesian St","Detroit","MI",48223,"","Residential","SingleFamily","",42.40055,-83.227882,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,46000,NA,NA,NA,NA,2016-05-10,69900,"","",NA,NA,NA
"1901",268206,268206,351946,1935,NA,3,1.5,1,1,NA,NA,NA,1638,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15024,"Grandville","","Ave","","","15024 Grandville Ave","Detroit","MI",48223,"","Residential","SingleFamily","",42.398708,-83.230789,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,71800,NA,NA,NA,NA,2016-05-18,85000,"","",NA,NA,NA
"1903",268208,268208,351948,1942,NA,3,2,0,2,NA,NA,NA,1277,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14900,"Grandville","","Ave","","","14900 Grandville Ave","Detroit","MI",48223,"","Residential","SingleFamily","",42.397339,-83.230743,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,65000,NA,NA,NA,NA,2016-05-11,72500,"","",NA,NA,NA
"1904",268209,268209,351949,1935,NA,3,2,0,2,NA,NA,NA,1511,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14405,"Stahelin","","Ave","","","14405 Stahelin Ave","Detroit","MI",48223,"","Residential","SingleFamily","",42.392788,-83.226456,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,57400,NA,NA,NA,NA,2016-05-24,92000,"","",NA,NA,NA
"1905",268210,268210,351950,1939,NA,3,3,0,3,NA,NA,NA,1978,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14514,"Glastonbury","","Ave","","","14514 Glastonbury Ave","Detroit","MI",48223,"","Residential","SingleFamily","",42.39408,-83.224504,NA,NA,7405,0.17,NA,NA,NA,NA,NA,NA,NA,86600,NA,NA,NA,NA,2016-06-01,139000,"","",NA,NA,NA
"1907",268212,268212,351952,1935,NA,3,2,0,2,NA,NA,NA,1260,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14579,"Stahelin","","Ave","","","14579 Stahelin Ave","Detroit","MI",48223,"","Residential","SingleFamily","",42.394893,-83.226547,NA,NA,5663,0.13,NA,NA,NA,NA,NA,NA,NA,24600,NA,NA,NA,NA,2016-02-16,55000,"","",NA,NA,NA
"1908",268213,268213,351953,1937,NA,3,1.5,1,1,NA,NA,NA,1698,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15154,"Grandville","","Ave","","","15154 Grandville Ave","Detroit","MI",48223,"","Residential","SingleFamily","",42.400493,-83.230846,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,66000,NA,NA,NA,NA,2016-02-04,65000,"","",NA,NA,NA
"1909",268214,268214,351954,1937,NA,3,1.5,1,1,NA,NA,NA,1568,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14330,"Artesian","","St","","","14330 Artesian St","Detroit","MI",48223,"","Residential","SingleFamily","",42.391788,-83.226852,NA,NA,5227,0.12,NA,NA,NA,NA,NA,NA,NA,58000,NA,NA,NA,NA,2016-01-15,55000,"","",NA,NA,NA
"1911",268216,268216,351956,1936,NA,3,2,0,2,NA,NA,NA,2214,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15441,"Warwick","","St","","","15441 Warwick St","Detroit","MI",48223,"","Residential","SingleFamily","",42.403285,-83.229301,NA,NA,7840,0.18,NA,NA,NA,NA,NA,NA,NA,84400,NA,NA,NA,NA,2016-09-26,157000,"","",NA,NA,NA
"1912",268217,268217,351957,1939,NA,2,1.5,1,1,NA,NA,NA,1008,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15120,"Plainview","","Ave","","","15120 Plainview Ave","Detroit","MI",48223,"","Residential","SingleFamily","",42.399918,-83.235697,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,42600,NA,NA,NA,NA,2016-03-04,44500,"","",NA,NA,NA
"1913",268218,268218,351958,1939,NA,3,2.5,1,2,NA,NA,NA,1901,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,14852,"Warwick","","St","","","14852 Warwick St","Detroit","MI",48223,"","Residential","SingleFamily","",42.396739,-83.228225,NA,NA,7840,0.18,NA,NA,NA,NA,NA,NA,NA,73800,NA,NA,NA,NA,2016-08-19,80000,"","",NA,NA,NA
