"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"325",15267,15267,86655,1928,NA,6,4,0,4,2.25,NA,1,4200,NA,360,"","Brick","Central","","Single Family",NA,NA,NA,2,"2 Openings","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,18200,"Muirland","","St","","","18200 Muirland St","Detroit","MI",48221,"","Residential","SingleFamily","02003256.",42.42467,-83.133948,135,50,7405,0.17,NA,NA,NA,NA,NA,0,0,65100,NA,4785,2015,NA,2016-02-18,90000,"","",NA,NA,NA
"341",15292,15292,86681,1935,NA,4,4,0,4,2.25,NA,1,3100,NA,360,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,18655,"Fairfield","","St","","","18655 Fairfield St","Detroit","MI",48221,"","Residential","SingleFamily","02003514.",42.428904,-83.136102,139,50,6969,0.16,NA,NA,NA,NA,NA,0,0,64700,NA,4757,2015,NA,2016-05-11,148900,"","",NA,NA,NA
"343",15295,15295,86685,1927,NA,5,5,0,5,2.25,NA,1,3300,NA,560,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Hot Water",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,18221,"Muirland","","St","","","18221 Muirland St","Detroit","MI",48221,"","Residential","SingleFamily","02003349.",42.424938,-83.134674,135,50,6970,0.16,NA,NA,NA,NA,NA,0,0,59500,NA,4394,2015,NA,2016-06-15,180000,"","",NA,NA,NA
"355",15318,15318,86708,1935,NA,2,2,0,2,2,NA,1,2046,1000,324,"","Brick","","","",NA,NA,NA,NA,"","",NA,"Detached","Forced Air Not Ducted",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,17144,"Birchcrest","","Dr","","","17144 Birchcrest Dr","Detroit","MI",48221,"","Residential","SingleFamily","02003613.",42.417945,-83.136566,100,35,3484,0.08,NA,NA,NA,NA,NA,0,0,15200,NA,1678,2015,NA,2016-04-01,13500,"Grant Deed","TOGETHER CAPITAL LLC",NA,NA,NA
"357",15321,15321,86711,1958,NA,3,2,0,2,1,NA,1,1474,1474,NA,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"","Forced Air",NA,NA,"",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,17300,"Birchcrest","","Dr","","","17300 Birchcrest Dr","Detroit","MI",48221,"","Residential","SingleFamily","02003619.",42.419281,-83.136629,NA,NA,4791,0.11,NA,NA,NA,NA,NA,0,0,15700,NA,1622,2015,NA,2016-05-03,30000,"","",NA,NA,NA
"388",15755,15755,87187,1935,NA,4,4,0,4,2,NA,1,2500,NA,360,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,18955,"Oak","","Dr","","","18955 Oak Dr","Detroit","MI",48221,"","Residential","SingleFamily","02003875.",42.430389,-83.138923,163,50,8276,0.19,NA,NA,NA,NA,NA,0,0,50700,NA,3780,2015,NA,2016-05-18,210000,"","",NA,NA,NA
"421",15844,15844,87281,1950,NA,3,3,0,3,2,NA,1,32767,26748,360,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,18965,"Warrington","","Dr","","","18965 Warrington Dr","Detroit","MI",48221,"","Residential","SingleFamily","02004183.",42.430511,-83.140296,154,50,7840,0.18,NA,NA,NA,NA,NA,0,0,34600,NA,2656,2015,NA,2016-02-08,82400,"","",NA,NA,NA
"519",16081,16081,87534,1939,NA,3,3,0,3,2,NA,1,1502,751,324,"","Brick","Central","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,20410,"Picadilly","","Rd","","","20410 Picadilly Rd","Detroit","MI",48221,"","Residential","SingleFamily","02005827.",42.444034,-83.137145,120,40,4791,0.11,NA,NA,NA,NA,NA,0,0,36900,NA,2909,2015,NA,2016-02-03,89999,"Grant Deed","GRANDEUR ENTS LLC",NA,NA,NA
"533",16098,16098,87553,1940,NA,3,1,0,1,1.25,NA,1,1116,1054,324,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,20122,"Picadilly","","Rd","","","20122 Picadilly Rd","Detroit","MI",48221,"","Residential","SingleFamily","02005808.",42.442012,-83.137077,120,35,4356,0.1,NA,NA,NA,NA,NA,0,0,33500,NA,1554,2015,NA,2016-01-12,32500,"","",NA,NA,NA
"606",24552,24552,97081,1938,NA,3,2,0,2,1,NA,1,1250,812,576,"","Brick","Central","","Single Family",NA,NA,NA,NA,"","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,16836,"Rutherford","","St","","","16836 Rutherford St","Detroit","MI",48235,"","Residential","SingleFamily","22056071.",42.414657,-83.204261,112,35,3920,0.09,NA,NA,NA,NA,NA,0,0,44400,NA,1789,2015,NA,2016-04-20,18000,"Grant Deed","US BK NATIONAL ASSN",NA,NA,NA
